epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
48,808.049,1.2321,7.6294,0.60047,2.91133,1.56112,0.00094,0.19444,0.00082,0.00027,0.00025,0.05556,0.00022,2e-05,5.28844,11.9929,0.69183,6.75641,5.59935,0.0005347,0.0005347,0.0005347
49,825.302,1.30417,9.79086,0.60857,2.70399,1.32698,0.00092,0.15278,0.02241,0.00318,0.00026,0.05556,0.00027,3e-05,5.14458,11.9926,0.69102,6.45491,5.39207,0.0005248,0.0005248,0.0005248
50,842.996,1.19629,8.55635,0.62664,2.78599,1.49927,0.00092,0.15278,0.02241,0.00318,0.00026,0.05556,0.00027,3e-05,5.14458,11.9926,0.69102,6.45491,5.39207,0.0005149,0.0005149,0.0005149
51,861.073,1.1807,7.50654,0.57026,2.8294,1.48776,0.00092,0.15278,0.02241,0.00318,0.00026,0.05556,0.00027,3e-05,5.14458,11.9926,0.69102,6.45491,5.39207,0.000505,0.000505,0.000505
52,881.174,1.03277,5.57863,0.61234,2.612,1.39035,0.00123,0.19444,0.01542,0.00174,0.00043,0.11111,0.0011,0.00011,5.19378,11.992,0.70102,7.51017,5.45005,0.0004951,0.0004951,0.0004951
53,901.696,1.18814,5.18259,0.56123,3.25136,1.45452,0.00123,0.19444,0.01542,0.00174,0.00043,0.11111,0.0011,0.00011,5.19378,11.992,0.70102,7.51017,5.45005,0.0004852,0.0004852,0.0004852
54,919.544,1.01887,8.65241,0.63585,2.66323,1.3988,0.00123,0.19444,0.01542,0.00174,0.00043,0.11111,0.0011,0.00011,5.19378,11.992,0.70102,7.51017,5.45005,0.0004753,0.0004753,0.0004753
55,941.542,1.4165,6.29604,0.60984,3.04113,1.75009,0.00177,0.23611,0.02135,0.00266,0,0,0,0,5.17884,11.9923,0.70777,6.73248,5.42761,0.0004654,0.0004654,0.0004654
56,959.302,1.28844,9.56323,0.61975,3.72634,1.74119,0.00177,0.23611,0.02135,0.00266,0,0,0,0,5.17884,11.9923,0.70777,6.73248,5.42761,0.0004555,0.0004555,0.0004555
57,975.937,0.92382,5.88724,0.42755,6.03728,0.94286,0.00255,0.23611,0.02029,0.00354,0,0,0,0,5.16927,11.9924,0.71214,6.44342,5.2974,0.0004456,0.0004456,0.0004456
58,993.912,1.24712,9.46487,0.61135,2.49334,1.38626,0.00255,0.23611,0.02029,0.00354,0,0,0,0,5.16927,11.9924,0.71214,6.44342,5.2974,0.0004357,0.0004357,0.0004357
59,1011.99,1.21603,8.73444,0.65334,2.43508,1.47332,0.00255,0.23611,0.02029,0.00354,0,0,0,0,5.16927,11.9924,0.71214,6.44342,5.2974,0.0004258,0.0004258,0.0004258
60,1029.72,1.2058,8.85279,0.59685,2.59644,1.49635,0.00254,0.19444,0.0262,0.00586,0,0,0,0,5.14909,11.9923,0.71545,6.8737,5.32183,0.0004159,0.0004159,0.0004159
61,1047.21,1.34903,5.55534,0.63707,3.02367,1.72657,0.00254,0.19444,0.0262,0.00586,0,0,0,0,5.14909,11.9923,0.71545,6.8737,5.32183,0.000406,0.000406,0.000406
62,1064.23,1.0906,6.75136,0.56395,2.56297,1.39113,0.00254,0.19444,0.0262,0.00586,0,0,0,0,5.14909,11.9923,0.71545,6.8737,5.32183,0.0003961,0.0003961,0.0003961
63,1081.38,0.95921,9.07441,0.61319,2.48172,1.34156,0.00302,0.19444,0.01566,0.0031,0,0,0,0,5.22226,11.993,0.7143,7.39742,5.50198,0.0003862,0.0003862,0.0003862
64,1098.39,0.94361,8.29873,0.58246,2.32651,1.27703,0.00302,0.19444,0.01566,0.0031,0,0,0,0,5.22226,11.993,0.7143,7.39742,5.50198,0.0003763,0.0003763,0.0003763
65,1117.09,1.17445,7.86284,0.61374,2.82263,1.61296,0.00245,0.19444,0.00496,0.0005,0,0,0,0,5.32739,11.9936,0.71427,6.90976,5.59698,0.0003664,0.0003664,0.0003664
66,1135.43,1.09949,4.43824,0.54156,2.68472,1.34702,0.00245,0.19444,0.00496,0.0005,0,0,0,0,5.32739,11.9936,0.71427,6.90976,5.59698,0.0003565,0.0003565,0.0003565
67,1151.49,1.20796,8.20104,0.5831,3.00634,1.44508,0.00245,0.19444,0.00496,0.0005,0,0,0,0,5.32739,11.9936,0.71427,6.90976,5.59698,0.0003466,0.0003466,0.0003466
68,1167.81,0.87144,10.1181,0.64458,2.40471,1.32002,0.00228,0.23611,0.00861,0.00161,0,0,0,0,5.33951,11.9943,0.70902,7.2162,5.83466,0.0003367,0.0003367,0.0003367
69,1184.04,1.01821,10.9035,0.61309,2.3932,1.35844,0.00228,0.23611,0.00861,0.00161,0,0,0,0,5.33951,11.9943,0.70902,7.2162,5.83466,0.0003268,0.0003268,0.0003268
70,1200.85,1.10145,5.87802,0.57144,2.55299,1.47575,0.00228,0.23611,0.00861,0.00161,0,0,0,0,5.33951,11.9943,0.70902,7.2162,5.83466,0.0003169,0.0003169,0.0003169
71,1216.93,0.93591,8.34789,0.61214,2.33998,1.33504,0.00229,0.19444,0.00461,0.00067,0,0,0,0,5.30337,11.9935,0.69296,6.743,5.84194,0.000307,0.000307,0.000307
72,1233,1.2152,6.3421,0.60014,2.58937,1.52908,0.00229,0.19444,0.00461,0.00067,0,0,0,0,5.30337,11.9935,0.69296,6.743,5.84194,0.0002971,0.0002971,0.0002971
73,1248.94,1.17988,8.97244,0.59662,2.48967,1.5908,0.00336,0.19444,0.00605,0.00082,0,0,0,0,5.26003,11.9908,0.67195,7.39689,5.71374,0.0002872,0.0002872,0.0002872
74,1265.11,0.64482,4.8528,0.41675,5.76107,0.92093,0.00336,0.19444,0.00605,0.00082,0,0,0,0,5.26003,11.9908,0.67195,7.39689,5.71374,0.0002773,0.0002773,0.0002773
75,1281.84,1.09798,9.36823,0.56886,2.24558,1.32999,0.00336,0.19444,0.00605,0.00082,0,0,0,0,5.26003,11.9908,0.67195,7.39689,5.71374,0.0002674,0.0002674,0.0002674
76,1298.32,1.102,6.79947,0.56079,2.39783,1.48949,0.00559,0.19444,0.0081,0.00121,0.0002,0.05556,0.00049,5e-05,5.18993,11.9882,0.65912,8.69652,5.56738,0.0002575,0.0002575,0.0002575
77,1314.42,0.93747,8.40908,0.63446,2.83326,1.244,0.00559,0.19444,0.0081,0.00121,0.0002,0.05556,0.00049,5e-05,5.18993,11.9882,0.65912,8.69652,5.56738,0.0002476,0.0002476,0.0002476
78,1331.29,1.12667,7.91272,0.62271,2.86524,1.45796,0.00559,0.19444,0.0081,0.00121,0.0002,0.05556,0.00049,5e-05,5.18993,11.9882,0.65912,8.69652,5.56738,0.0002377,0.0002377,0.0002377
79,1348.06,0.91564,9.45949,0.62986,2.92235,1.38279,0.00671,0.19444,0.01426,0.00278,0,0,0,0,5.15778,11.9873,0.65053,9.64357,5.54713,0.0002278,0.0002278,0.0002278
80,1365,0.95746,9.16681,0.61643,2.38783,1.33159,0.00671,0.19444,0.01426,0.00278,0,0,0,0,5.15778,11.9873,0.65053,9.64357,5.54713,0.0002179,0.0002179,0.0002179
81,1382.19,0.98304,9.00641,0.6051,2.07416,1.36378,0.00843,0.19444,0.01599,0.00208,0,0,0,0,5.13056,11.9855,0.64751,10.4019,5.45104,0.000208,0.000208,0.000208
82,1399.97,0.99175,10.069,0.59539,2.60562,1.40781,0.00843,0.19444,0.01599,0.00208,0,0,0,0,5.13056,11.9855,0.64751,10.4019,5.45104,0.0001981,0.0001981,0.0001981
