epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
47,6511.86,1.35202,10.6957,0.581,1.79275,1.18605,0.00032,0.02564,0.00019,4e-05,0.00022,0.01709,0.00014,2e-05,2.98779,11.6957,0.5841,5.7198,2.56817,0.0005446,0.0005446,0.0005446
48,6642.19,1.33185,10.5737,0.57491,1.8116,1.24898,0.00056,0.04167,0.00036,7e-05,0.00016,0.01282,0.00011,1e-05,2.93228,11.7197,0.57643,5.43511,2.54748,0.0005347,0.0005347,0.0005347
49,6772.81,1.32499,10.7126,0.58898,1.83525,1.18382,0.0006,0.03739,0.00033,7e-05,0.00022,0.01282,0.00013,2e-05,2.87626,11.7407,0.59286,5.47466,2.43781,0.0005248,0.0005248,0.0005248
50,6902,1.19687,10.7429,0.57634,1.79712,1.20072,0.00067,0.03526,0.00038,6e-05,0.00025,0.01282,0.00015,3e-05,2.94227,11.7267,0.59981,5.67898,2.43648,0.0005149,0.0005149,0.0005149
51,7029.77,1.27906,10.9395,0.56085,1.72639,1.16886,0.00096,0.0609,0.0006,0.00013,0.00024,0.01709,0.00016,3e-05,2.90514,11.6957,0.56977,5.37703,2.55421,0.000505,0.000505,0.000505
52,7157.53,1.25153,10.7977,0.58658,1.73677,1.20278,0.001,0.06838,0.00073,0.00019,0.00032,0.02564,0.00023,5e-05,2.89475,11.6751,0.56284,5.55604,2.56661,0.0004951,0.0004951,0.0004951
53,7288.71,1.23548,10.3742,0.59444,1.82692,1.2138,0.0037,0.01603,0.00094,0.00028,0.00033,0.02564,0.0002,4e-05,2.94434,11.6467,0.5716,5.40914,2.6052,0.0004852,0.0004852,0.0004852
54,7418.43,1.16576,10.7565,0.5777,1.61635,1.15462,0.00357,0.01603,0.00088,0.00022,0.00018,0.01282,0.00013,3e-05,2.98589,11.6535,0.59444,5.19907,2.63434,0.0004753,0.0004753,0.0004753
55,7547.3,1.21794,10.6072,0.57437,1.6877,1.14229,0.00087,0.05021,0.00055,0.00015,0.00011,0.00855,0.00013,2e-05,2.97868,11.7041,0.59565,5.29745,2.63405,0.0004654,0.0004654,0.0004654
56,7675.38,1.22352,10.6936,0.57348,1.65394,1.17325,0.00068,0.03846,0.00041,0.00012,0.00018,0.01282,0.00023,5e-05,3.04352,11.7204,0.56927,5.19708,2.77146,0.0004555,0.0004555,0.0004555
57,7806,1.26792,10.7395,0.58948,1.66016,1.18449,0.00061,0.03526,0.00036,0.00014,0.00016,0.01282,0.00031,7e-05,3.02555,11.7105,0.55713,5.21685,2.7882,0.0004456,0.0004456,0.0004456
